38459.city,MIRAMAR BEACH,ST FRANCIS
42413.condition,Heart Attack,Surgical Infection Prevention
30415.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Assessed and Given Influenza Vaccination
39469.condition,Pneumonia,Heart Attack
43745.stateavg,CO_SCIP-CARD-2,LA_HF-1
48816.stateavg,IN_PN-4,MI_AMI-2
45938.condition,Heart Attack,Surgical Infection Prevention
34803.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
37659.city,FORT WAYNE,MCPHERSON
29787.stateavg,CO_PN-6,IL_AMI-2
6327.address1,95 EAST FAIRWAY CENTER DRIVE,1800 BYPASS ROAD
4570.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
29140.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
38092.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
19996.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18313.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26247.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30389.address1,250 NORTH FIRST STREET,101 N WALNUT
36883.address1,1125 MARGUERITE STREET,ONE ST JOSEPH'S DRIVE
37014.stateavg,CA_AMI-2,KS_HF-1
48154.city,OAK LAWN,BOSTON
33809.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
24292.city,INDEPENDENCE,JESUP
46216.stateavg,IL_PN-4,MD_PN-5C
26522.address1,21298 NW OLEAN BLVD,3100 CHANNING WAY
3707.stateavg,IL_HF-2,AZ_PN-7
22551.city,FREDONIA,CHIPLEY
45619.city,KIOWA,LINCOLN
44491.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Pneumonia Patients Assessed and Given Influenza Vaccination
39441.address1,680 CENTER STREET,506 3RD STREET
43291.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
20465.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
28081.condition,Pneumonia,Surgical Infection Prevention
49101.condition,Surgical Infection Prevention,Children&#8217;s Asthma Care
40897.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
45324.city,SAINT CLOUD,NORWAY
1100.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1605.condition,Surgical Infection Prevention,Heart Failure
6168.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
21540.condition,Heart Attack,Surgical Infection Prevention
14091.stateavg,LA_AMI-4,CA_PN-4
42256.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7996.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23825.stateavg,FL_AMI-4,GA_SCIP-VTE-2
30064.city,CHICAGO,HOFFMAN ESTATES
19668.stateavg,LA_HF-2,FL_AMI-1
8318.address1,609 WEST MAPLE AVENUE,222 W 39TH AVE
43188.condition,Pneumonia,Heart Failure
38813.address1,1100 REID PKWY,810 DRUMM STREET
11832.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1146.address1,2815 SOUTH SEACREST BLVD,202 HOSPITAL STREET
25159.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
21804.address1,1000 W HARLEM AVENUE,1110 GULF BREEZE PARKWAY
27030.condition,Pneumonia,Heart Attack
3884.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2101.city,OPELIKA,BIRMINGHAM
43632.condition,Heart Failure,Surgical Infection Prevention
13877.stateavg,MA_SCIP-INF-1,CA_PN-4
15866.stateavg,KY_SCIP-INF-6,CO_AMI-7A
2623.address1,1653 TEMPLE AVENUE NORTH,2500 SOUTH WOODWORTH LOOP
44503.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31269.condition,Heart Attack,Pneumonia
26984.city,MOUNT CARMEL,DIXON
9837.condition,Heart Failure,Pneumonia
13371.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18600.city,ESCONDIDO,OCOEE
6317.condition,Surgical Infection Prevention,Heart Attack
17013.city,MANKATO,NEW HAVEN
31087.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
787.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
2785.stateavg,GA_PN-7,AK_SCIP-INF-2
26614.address1,1305 N ELM ST,500 W. FORT STREET
1296.address1,18101 OAKWOOD BLVD,83825 HIGHWAY 9    P O BOX 1270
2072.condition,Heart Attack,Surgical Infection Prevention
7791.stateavg,FL_SCIP-INF-3,CA_SCIP-INF-2
27696.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
18383.city,CHICAGO,NAPLES
23810.stateavg,FL_AMI-1,GA_HF-3
27980.city,COLUMBIA CITY,CHICAGO
16853.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
46142.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
42264.city,GREENVILLE,NEW IBERIA
27650.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given Aspirin at Discharge
13144.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
4592.city,SAN LUIS OBISPO,WICKENBURG
10458.stateavg,GA_HF-4,CA_AMI-7A
31254.measurename,Heart Attack Patients Given Aspirin at Discharge,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
18425.stateavg,HI_AMI-8A,FL_SCIP-VTE-1
29845.address1,118 NORTHPORT AVE,800 W BIESTERFIELD RD
46396.condition,Pneumonia,Surgical Infection Prevention
18777.stateavg,CA_PN-6,FL_SCIP-INF-1
31397.city,ELGIN,DANVILLE
26276.city,BRIGHTON,KAMUELA
16930.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
37759.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
31410.city,MOUNTAIN HOME,DANVILLE
44281.city,LAFAYETTE,MONROE
47771.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43817.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
42386.stateavg,FL_HF-4,LA_SCIP-INF-4
33711.city,SITKA,NORTH VERNON
25201.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38286.stateavg,MI_PN-2,KS_PN-5C
8709.city,MARENGO,PANORAMA CITY
20565.address1,2500 HIGHWAY 65 SOUTH,5731 BEE RIDGE ROAD
26940.city,SELMA,EVANSTON
3238.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17631.city,VILLE PLATTE,DANBURY
39408.address1,3350 W BALL ROAD,701 S MAIN STREET
27159.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
26073.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47033.condition,Pneumonia,Surgical Infection Prevention
45894.city,WEST LOS ANGELES,HAGERSTOWN
46116.address1,6 GLEN COVE DRIVE,150 S. HUNTINGTON AVENUE
37420.city,TAMPA,LIBERAL
16475.condition,Surgical Infection Prevention,Pneumonia
23876.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Attack Patients Given Aspirin at Arrival
13183.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Attack Patients Given Aspirin at Discharge
47446.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given Aspirin at Arrival
14954.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
18400.city,COFFEYVILLE,MELBOURNE
45420.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
21474.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Failure Patients Given Discharge Instructions
35437.city,SAN JOSE,MISSOURI VALLEY
10341.address1,400 MEDICAL PARK DR,2215 TRUXTUN AVENUE
48956.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Given Smoking Cessation Advice/Counseling
45844.stateavg,CO_AMI-3,ME_AMI-2
35650.address1,301 HOSPITAL DR,901 DAVIDSON STREET NW
41314.address1,1600 PRAIRIE CENTER PARKWAY,299 KINGS DAUGHTERS DRIVE
5047.address1,807 SOUTH PONDEROSA DRIVE,3214 EAST RACE AVENUE
25723.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
15641.city,SALINAS,PUEBLO
8681.address1,805 FRIENDSHIP ROAD,400 N MCDOWELL BLVD
39507.city,MANCHESTER,HARPER
32170.address1,1300 S JACKSON ST,1701 N SENATE BLVD
14915.stateavg,CA_HF-4,CA_PN-2
12398.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34871.address1,3421 WEST NINTH STREET,701 10TH STREET SE
45381.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
45977.address1,1441 FLORIDA AVENUE,1500 FOREST GLEN ROAD
43811.stateavg,AZ_PN-7,LA_SCIP-INF-1
23850.stateavg,CA_AMI-2,GA_SCIP-VTE-2
41849.address1,PUEBLO AT BATH ST,130 KATE IRELAND DRIVE
22995.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8885.city,MODESTO,SAN FRANCISCO
31107.condition,Pneumonia,Surgical Infection Prevention
32082.address1,1701 E 23RD AVENUE,700 BROADWAY
46753.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26738.address1,360 AMSDEN AVENUE,350 NORTH MERIDIAN STREET
45519.city,VISALIA,ROCKPORT
10446.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
14554.address1,801 S MILWAUKEE AVE,1100 BUTTE ST
1378.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
2592.stateavg,FL_AMI-2,AK_HF-3
11517.stateavg,GA_AMI-8A,CA_PN-2
32372.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given Smoking Cessation Advice/Counseling
47039.city,SITKA,BALTIMORE
22092.city,POWAY,WEST PALM BEACH
6328.city,FORT MYERS,HEBER SPRINGS
29082.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
39860.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
45508.stateavg,MI_HF-1,ME_SCIP-INF-2
45395.stateavg,FL_HF-1,ME_AMI-8A
30910.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
30996.stateavg,CA_AMI-2,IL_SCIP-CARD-2
9088.condition,Heart Attack,Pneumonia
44023.condition,Surgical Infection Prevention,Heart Attack
15126.stateavg,CA_SCIP-VTE-2,CA_SCIP-INF-6
7624.condition,Surgical Infection Prevention,Pneumonia
31328.stateavg,CO_SCIP-INF-2,IN_SCIP-INF-3
27935.condition,Pneumonia,Heart Attack
46510.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43664.condition,Surgical Infection Prevention,Heart Attack
22005.city,RIFLE,MIAMI
42403.city,SOUTH MIAMI,PINEVILLE
39698.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
10886.stateavg,CO_AMI-3,CA_AMI-7A
13453.stateavg,IN_SCIP-VTE-2,CA_PN-5C
29437.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given Aspirin at Discharge
2868.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
8362.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
16883.city,ADEL,ASPEN
45416.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
40423.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
44688.address1,435 LEWIS AVE,815 SOUTH 10TH STREET
14864.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
35051.stateavg,FL_AMI-8A,IA_AMI-7A
5349.stateavg,MI_SCIP-VTE-2,AR_SCIP-CARD-2
25440.condition,Pneumonia,Heart Failure
25587.address1,1101 MICHIGAN AVE,630 COLUMBIA ROAD
17759.condition,Heart Attack,Heart Failure
49944.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15764.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
40664.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
21034.stateavg,CA_SCIP-VTE-1,FL_AMI-1
22915.stateavg,CA_PN-3B,GA_AMI-8A
35076.condition,Pneumonia,Heart Attack
8350.city,CRAIG,ESCONDIDO
9134.stateavg,KY_AMI-1,CA_HF-3
44791.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Assessed and Given Influenza Vaccination
5835.city,WINNSBORO,HOPE
25558.stateavg,LA_HF-4,GA_AMI-1
39825.stateavg,KS_SCIP-INF-2,KS_HF-2
47653.city,SITKA,WARE
45888.city,ATLANTIS,SKOWHEGAN
30560.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
3137.address1,235 N HOOVER ST,200 WEST ARBOR DRIVE
677.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Failure Patients Given Smoking Cessation Advice/Counseling
8453.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
33510.stateavg,AR_AMI-1,IN_SCIP-VTE-2
33144.condition,Heart Failure,Pneumonia
46392.address1,6325 HOSPITAL PARKWAY,251 N FOURTH ST
4180.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1405.condition,Pneumonia,Surgical Infection Prevention
19003.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
25296.measurename,Heart Attack Patients Given Aspirin at Arrival,Pneumonia Patients Given Smoking Cessation Advice/Counseling
48543.stateavg,ME_HF-3,MA_AMI-8A
18743.address1,2025 MORSE AVE,1000 WATERMAN WAY
12955.stateavg,KY_PN-6,CA_SCIP-VTE-1
31706.condition,Surgical Infection Prevention,Pneumonia
38086.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
14744.city,ATMORE,MARIPOSA
42573.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
20059.address1,309 ELEVENTH STREET,151 REDSTONE AVE SE
38360.stateavg,AR_SCIP-INF-4,KS_HF-4
3403.address1,305 ESTILL STREET,475 SOUTH DOBSON ROAD
19851.condition,Surgical Infection Prevention,Heart Failure
1425.address1,1700 OLD LEBANON ROAD,3400 HIGHWAY 78 EAST
49996.city,BELLEVILLE,SAGINAW
33634.city,WEST PALM BEACH,LAFAYETTE
40469.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Failure Patients Given Smoking Cessation Advice/Counseling
48784.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
41549.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
